comment,hospital,star,rating,sentiment,cleaned_comment
"Mình đã có 2 bé, muốn sinh thêm bé nữa nhưng vì cũng nhiều tuổi nên đã tìm hiểu các BV hỗ trợ thụ tinh IVF, trải nghiệm khi thăm khám ở đây dịch vụ tốt, nhân viên hướng dẫn nhiệt tình, chi phí khá hợp lý, đặc biệt các BS tư vấn rất có tâm …",Bệnh Viện Đa khoa Hà Nội - Hanoi Hospital,5 sao,"3,6",Tốt,"mình đã có 2 bé, muốn sinh thêm bé nữa nhưng vì cũng nhiều tuổi nên đã tìm hiểu các bệnh viện hỗ trợ thụ tinh ivf, trải nghiệm khi thăm khám ở đây dịch vụ tốt, nhân viên hướng dẫn nhiệt tình, chi phí khá hợp lý, đặc biệt các bác sĩ tư vấn rất có tâm …"
"hôm 04/11 toi đưa vợ đi khám tiền hôn nhan ivf, lễ tân ddonss tiếp và hướng dẫn chu đáo như người nhà. Bác sĩ tâm lý aan cần. Cảm ơn bệnh viện nhiều!",Bệnh Viện Đa khoa Hà Nội - Hanoi Hospital,5 sao,"3,6",Tốt,"hôm 04/11 toi đưa vợ đi khám tiền hôn nhan ivf, lễ tân ddonss tiếp và hướng dẫn chu đáo như người nhà. bác sĩ tâm lý aan cần. cảm ơn bệnh viện nhiều!"
"Bệnh viện tuy nhỏ nhưng sạch đẹp. Nữ bác sĩ khám cho mình vô cùng dịu dàng tử tế. Hôm nay chủ nhật, không đông nên khám nhanh gọn lắm. 10 điểm",Bệnh Viện Đa khoa Hà Nội - Hanoi Hospital,5 sao,"3,6",Tốt,"bệnh viện tuyến nhỏ nhưng sạch đẹp. nữ bác sĩ khám cho mình vô cùng dịu dàng tử tế. hôm nay chủ nhật, không đông nên khám nhanh gọn lắm. 10 điểm"
"Tháng 9 2vck mình có đi thăm khám SKSS và có nhu cầu can thiệp iui nhưng thật sự k thích cách làm việc của b.viện. Bảo sao chạy QC nhiều thế, khắp các trang đều thấy. Lễ tân tầng 8 thì thái độ, đến giờ làm việc ngta nộp sổ lâu k thấy gọi …",Bệnh Viện Đa khoa Hà Nội - Hanoi Hospital,2 sao,"3,6",Tệ,"tháng 9 2vck mình có đi thăm khám skss và có nhu cầu can thiệp iui nhưng thật sự không thích cách làm việc của b.viện. bảo sao chạy quảng cáo nhiều thế, khắp các trang đều thấy. lễ tân tầng 8 thì thái độ, đến giờ làm việc ngta nộp sổ lâu không thấy gọi …"
"Mình đã khám ở viện rồi ạ , nhân viên tư vấn và các bác sĩ rất nhiệt tình và chu đáo . lần sau mình sẽ dẫn người nhà đến khám.",Bệnh Viện Đa khoa Hà Nội - Hanoi Hospital,5 sao,"3,6",Tốt,"mình đã khám ở viện rồi ạ , nhân viên tư vấn và các bác sĩ rất nhiệt tình và chu đáo . lần sau mình sẽ dẫn người nhà đến khám."
"Mình đã từng thăm khám bệnh viện đa khoa Hà nội  rùi, ở đây coe sở vật chất tốt, bác sĩ nhiệt tình, mà nhân viên hướng dẫn cũng rất nhiệt tình, lễ phép
Trước đứa bạn làm IVF thành công nên giới thiệu …",Bệnh Viện Đa khoa Hà Nội - Hanoi Hospital,5 sao,"3,6",Tốt,"mình đã từng thăm khám bệnh viện đa khoa hà nội  rồi, ở đây coe sở vật chất tốt, bác sĩ nhiệt tình, mà nhân viên hướng dẫn cũng rất nhiệt tình, lễ phép
trước đứa bạn làm ivf thành công nên giới thiệu …"
"Mình đã khám ở đây, các bs thăm khám tận tình lắm, cảm ơn bệnh viện Đa khoa HN nhiều lắm, không những thế các bạn tư vấn rất chu đáo, nhiệt tình, qua đây cũng cám ơn em Vân và một em quên tên đã hướng dẫn tận tình cho mình",Bệnh Viện Đa khoa Hà Nội - Hanoi Hospital,5 sao,"3,6",Tốt,"mình đã khám ở đây, các bác sĩ thăm khám tận tình lắm, cảm ơn bệnh viện đa khoa hà nội nhiều lắm, không những thế các bạn tư vấn rất chu đáo, nhiệt tình, qua đây cũng cám ơn em vân và một em quên tên đã hướng dẫn tận tình cho mình"
"Bác sĩ cũng ok, nhân viên tư vấn t8 khá nhẹ nhàng, hướng dẫn cụ thể. Thấy bv đang xây thêm toà mới , hy vọng chất lượng Tốt.",Bệnh Viện Đa khoa Hà Nội - Hanoi Hospital,5 sao,"3,6",Tốt,"bác sĩ cũng được, nhân viên tư vấn t8 khá nhẹ nhàng, hướng dẫn cụ thể. thấy bệnh viện đang xây thêm toà mới , hy vọng chất lượng tốt."
"Rất hài lòng khi thăm khám tại đây. Sạch sẽ, nhanh gọn và được chỉ dẫn rất nhiệt tình. Các bác sĩ thì rất có tâm nha các bạn",Bệnh Viện Đa khoa Hà Nội - Hanoi Hospital,5 sao,"3,6",Tốt,"rất hài lòng khi thăm khám tại đây. sạch sẽ, nhanh gọn và được chỉ dẫn rất nhiệt tình. các bác sĩ thì rất có tâm nha các bạn"
"Rất hài lòng với dịch vụ tại bệnh viện ĐKHN, các bác sĩ và nhân viên rất chuyên nghiệp và chu đáo, 10đ chăm sóc và take care.",Bệnh Viện Đa khoa Hà Nội - Hanoi Hospital,5 sao,"3,6",Tốt,"rất hài lòng với dịch vụ tại bệnh viện đkhn, các bác sĩ và nhân viên rất chuyên nghiệp và chu đáo, 10đ chăm sóc và take care."
"Thái độ nhân viên, mấy người lễ tân rất thái độ, vs nói chuyện như kiểu hét vào mặt, mà rất ồn, 2 y tá ngồi cạnh nhau thi nhau hét vào loa như kiểu ngoài chợ.
Chất lương dịch vụ thực sự rất tệ. Thực ra chi phí ko đáng nhiêu nhưng quan …",Bệnh viện Tim Hà Nội,1 sao,"3,8",Tệ,"thái độ nhân viên, mấy người lễ tân rất thái độ, vs nói chuyện như kiểu hết vào mặt, mà rất ồn, 2 y tá ngồi cạnh nhau thi nhau hết vào loa như kiểu ngoài chợ.
chất lương dịch vụ thực sự rất tệ. thực ra chi phí không đáng nhiêu nhưng quan …"
Có thể Bệnh viện được nhiều bệnh nhân tin tưởng nên rất đông ạ. Mặc dù khám ở khoa Khám bệnh Tự Nguyện mà đông kín mít trước 11h trưa. Ảnh mình chụp đây là sau 11h trưa vãng người rồi ạ,Bệnh viện Tim Hà Nội,5 sao,"3,8",Tốt,có thể bệnh viện được nhiều bệnh nhân tin tưởng nên rất đông ạ. mặc dù khám ở khoa khám bệnh tự nguyện mà đông kín mít trước 11h trưa. ảnh mình chụp đây là sau 11h trưa vãng người rồi ạ
"Quá thất vọng về bệnh viện. Từ nhân viên đến bác sĩ làm việc khó chịu, bác sĩ nói chuyện hét vào mặt bệnh nhân. Nếu chúng tôi rõ thì chúng tôi cần bác sĩ làm gì? Chúng tôi bỏ tiền để được khám bệnh chứ không đi ăn xin",Bệnh viện Tim Hà Nội,1 sao,"3,8",Tệ,"quá thất vọng về bệnh viện. từ nhân viên đến bác sĩ làm việc khó chịu, bác sĩ nói chuyện hết vào mặt bệnh nhân. nếu chúng tôi rõ thì chúng tôi cần bác sĩ làm gì? chúng tôi bỏ tiền để được khám bệnh chứ không đi ăn xin"
"Những ai bệnh nặng về tim nên suy nghĩ trc khi vào chữa bệnh tại bv này. Dịch vụ từ việc tư vấn, khám bệnh, chữa bệnh, hồi sức rất thiếu tận tâm, thiếu đức",Bệnh viện Tim Hà Nội,1 sao,"3,8",Tệ,"những ai bệnh nặng về tim mạch nên suy nghĩ trc khi vào chữa bệnh tại bệnh viện này. dịch vụ từ việc tư vấn, khám bệnh, chữa bệnh, hồi sức rất thiếu tận tâm, thiếu đức"
"Thái độ nhân viên ở đây rất tệ,cực tệ,cực kì tệ,tôi đã đọc rất nhiều bv đánh giá ở đây mà sao vẫn kh chịu thay đổi
Các cô nhân viên ở khoa nhi thì còn thân thiện hơn rất nhiều so với cac cô ở …",Bệnh viện Tim Hà Nội,2 sao,"3,8",Tệ,"thái độ nhân viên ở đây rất tệ,cực tệ,cực kì tệ,tôi đã đọc rất nhiều bệnh viện đánh giá ở đây mà sao vẫn khám chịu thay đổi
các cô nhân viên ở khoa nhi thì còn thân thiện hơn rất nhiều so với các cô ở …"
"Bệnh viện chật hẹp, cơ sở vật chất quá kém . Chờ đợi quá lâu, mn nên qua cơ sở khác",Bệnh viện Tim Hà Nội,2 sao,"3,8",Tệ,"bệnh viện chật hẹp, cơ sở vật chất quá kém . chờ đợi quá lâu, mọi người nên qua cơ sở khác"
"Tuyệt vời. Kỹ thuật cao,Bác sĩ là Những đôi Bàn tay vàng , Y tá dịu dàng chu đáo.",Bệnh viện Tim Hà Nội,5 sao,"3,8",Tốt,"tuyệt vời. kỹ thuật cao huyết áp,bác sĩ là những đôi bàn tay vàng , y tá dịu dàng chu đáo."
