comment,hospital,star,rating
"bệnh viện hiện tại sạch sẽ, đội ngủ y bác sĩ rất nhiệt tình. chỉ duy nhất đội ngủ bảo vê con cửa quyền, quát nạt người dân ( mặc dù co so ha tân, nhất là nơi đâu xe có thứ phí lại nhếch nhác. Chỉ cần tráng nền cho bằng phẳng, dù diện tích nhỏ bé. Bảo vệ cho người bán vé số bò là liệt nơi hành lang.",Bệnh Viện Đa Khoa Lâm Đồng,1 sao,"2,6"
Quá tệ  .bóc số  rồi  chờ đến lượt  xong lại chờ đến lượt tiếp  cuối cùng chờ tới số kêu đi nhầm phòng (mk giấy gọi số thì đưa đúng phòng vào ) đến 11 h hơn thì kêu về. Trong khi  đó  người thì  mệt  đến từ sáng  để chờ cuối cùng... chán. Quá tệ cho 1 bệnh viện công,Bệnh Viện Đa Khoa Lâm Đồng,1 sao,"2,6"
"Bác mình bị tắc nghẽn mạch máu não, tai biến. xin chuyển viện không cho (bsi bảo ở đây điều trị được), thờ ơ với bệnh nhân , không thông máu ngay mà còn giữ người lại , người nhà sốt ruột phải tự thuê xe với bác sĩ riêng để chuyển lên chợ …",Bệnh Viện Đa Khoa Lâm Đồng,1 sao,"2,6"
"Bệnh viện làm ăn như đi chơi, k có tâm bác sĩ kinh nghiệm kém. Lấy hồ sơ xuất biện thì đưa hồ sơ bệnh án kết quả của ng khác điên đéo chịu được, dẹp mẹ đi là vừa",Bệnh Viện Đa Khoa Lâm Đồng,1 sao,"2,6"
Mình bị tiểu buốt đau bụng nhập viện bs chích thuốc cho mình xong được 5p thì có bn khác zo bs nói mình qua giường kia nằm nhường cho bn này minh cũng di qua nằm được 3-4p có thêm bệnh nhân khác nhập viên bs lại nói mình nhẹ thì kiếm chỗ …,Bệnh Viện Đa Khoa Lâm Đồng,1 sao,"2,6"
"Điều trị tiểu đường thì như ... càng điều trị đường huyêt càng cao. Học cho cố vô chỉ giỏi hại bệnh nhân. Ngta thì 1 loại thuốc hấp thụ chưa được đằng này ngày này thuốc nọ ngày kia thuốc khác, thuốc thì quên tiêm cho bệnh nhân. CHỊU",Bệnh Viện Đa Khoa Lâm Đồng,1 sao,"2,6"
"Bệnh viện không lấy máu gót chân, trời ơi làm mất cơ hội sàng lọc cho con. Sanh ở đây là đều mà mình hối hận nhất.",Bệnh Viện Đa Khoa Lâm Đồng,1 sao,"2,6"
"Bác sĩ trực cấp cứu đêm thờ ơ, buồn ngủ. Siêu âm không ra bệnh thì kết luận rối loạn tiêu hóa. Nằm viện làm nhiều xét nghiệm, siêu âm, nhưng không thông báo kết quả cho bệnh nhân. Ra viện cũng không đưa kết quả khám chữa bệnh. Chất lượng bệnh viện tỉnh không tốt",Bệnh Viện Đa Khoa Lâm Đồng,2 sao,"2,6"
"Bức xúc bác sĩ bảo qua lễ khám lại mà giờ 04/09 rồi vẫn bảo qua lễ là thứ 2 tuần sau nữa. Nên vào quánh giá thấy toàn 1 sao. Quá tệ, nghĩ làm cho dân đen nên bác sĩ khinh khỉnh quá hen. Chúc sức khỏe hy vọng tôi qua Hoàn Mỹ cho nhanh, nhà bao việc mà hay hẹn lắm.",Bệnh Viện Đa Khoa Lâm Đồng,2 sao,"2,6"
"Nằm viện, cũng chăm bệnh nhiều mà chưa bao giờ thấy điều dưỡng nào khó chịu như ở khoa tổng quát. Lương y gì như mẹ thiên hạ chứ từ mẫu gì.",Bệnh Viện Đa Khoa Lâm Đồng,1 sao,"2,6"
"Dịch vụ khá thú vị, có xe đưa mình từ nơi gởi xe lên, chỉ cần đi lên một tần lầu là đến chỗ lấy số khám.",Bệnh viện Hoàn Mỹ Đà Lạt,5 sao,"3,5"
"Bệnh viện tư nên bác sĩ, nhân viên nhiệt tình, nói chuyện nhẹ nhàng và lịch sự. Không gian thoáng đãng, view đẹp, mát mẻ vì cây cối rất nhiều, sạch sẽ, không nghe mùi …",Bệnh viện Hoàn Mỹ Đà Lạt,3 sao,"3,5"
"Bệnh viện Hoàn Mỹ Đà Lạt là một nơi tuyệt vời để chăm sóc sức khỏe. Đội ngũ bác sĩ và y tá tận tâm, chuyên nghiệp, và nhiệt tình. Cơ sở vật chất hiện đại, sạch sẽ, mang lại cảm giác an tâm cho bệnh nhân. Quy trình khám và điều trị nhanh …",Bệnh viện Hoàn Mỹ Đà Lạt,5 sao,"3,5"
"Nếu muốn có một nơi nghỉ dưỡng bệnh thì đây là một địa điểm tuyệt vời vì nó có khung cảnh rất đep. Thời gian khám nhanh, nhưng nó không được đồng bộ với các bệnh viện khác thuộc hệ thống Hoàn Mỹ. Các kết quả của bệnh viện Hoàn mỹ Sài Gòn …",Bệnh viện Hoàn Mỹ Đà Lạt,4 sao,"3,5"
"khám tổng quát ở đây, dc bác sỹ siêu âm từ cổ tới chân. làm rất kỹ, dịch vụ chuyên nghiệp, tận tình, tiền nào chất lượng theo, nhân viên luôn tươi cười chào đón và hướng dẫn",Bệnh viện Hoàn Mỹ Đà Lạt,5 sao,"3,5"
"Mình cũng tìm hiểu kỹ rồi mới đến BV, mình biết uy tín của Tập Đoàn Y khoa Hoàn Mỹ nên mình cũng lựa chọn Bv Hoàn Mỹ ở Đà Lạt thay vì đi khám ở Bv Lâm đồng hay các phòng khám ngoài khác nhưng mà đây sẽ là những gì mình cảm nhận dc khi khám …",Bệnh viện Hoàn Mỹ Đà Lạt,3 sao,"3,5"
Nhân viên thái độ diễu cợt. Trong lúc làm vừa làm vừa cầm điện thoại livestrem. K tôn trọng bệnh nhân.mặc dù bệnh viện tư chi tiền nhiều nhưng thái độ rất tệ,Bệnh viện Hoàn Mỹ Đà Lạt,1 sao,"3,5"
"Ra đời năm 2008 với sứ mạng mang tới cho người dân Tây Nguyên dịch vụ chăm sóc sức khỏe chất lượng cao với chi phí hợp lý, Bệnh viện Hoàn Mỹ Đà Lạt nay đã trở thành một địa chỉ tin cậy và quen thuộc của người dân trong khu vực và các tỉnh, …",Bệnh viện Hoàn Mỹ Đà Lạt,4 sao,"3,5"
