comment,hospital,star,rating,sentiment,cleaned_comment
"Cần khai báo y tế trước khi vào khám. Phòng khám tương đối sạch sẽ, chủ yếu phục vụ người có bảo hiểm y tế. Nhân viên lịch sự. Bác sĩ ở phòng khám răng hàm mặt tư vấn nhẹ nhàng, nhiệt tình.",Trung Tâm Cấp Cứu 115 Hà Nội,5 sao,"3,6",Tốt,"cần khai báo y tế trước khi vào khám. phòng khám tương đối sạch sẽ, chủ yếu phục vụ người có bảo hiểm y tế. nhân viên lịch sự. bác sĩ ở phòng khám răng hàm mặt tư vấn nhẹ nhàng, nhiệt tình."
"Mình vừa khám bs Hoàng ở pk mắt, pk rất có tâm, cắt kính giá rẻ hơn so với thị trường",Bệnh Viện Công An 30/4,5 sao,"3,6",Tốt,"mình vừa khám bác sĩ hoàng ở phòng khám mắt, phòng khám rất có tâm, cắt kính giá rẻ hơn so với thị trường"
"15h 30 khám phòng xương khớp  gặp b/sĩ nữ  giới khám ,khi cầm đơn thuốc  b/s điều trị ghi là  b/s nam giới kê đơn .16h  nhận thuốc chỉ 1 ô phát thuốc",Bệnh Viện Đa Khoa Thành Phố Vinh,1 sao,"4,0",Tệ,"15h 30 khám phòng xương khớp  gặp b/sĩ nữ  giới khám ,khi cầm đơn thuốc  b/sao điều trị ghi là  b/sao nam giới kê đơn .16h  nhận thuốc chỉ 1 ô phát thuốc"
"Cái bv tệ nhất từng đến do thấy chuyên khoa nên mới đi. Đi từ sáng đến hết ca trưa chụp đúng 1 cái X-Quang. Đợi dài cổ vô tới phòng xét nghiệm thì nó bắt đợi tới ca chiều mới làm tiếp, bệnh nhân không đông như Y dược nhưng làm chậm gấp 3 lần.",Bệnh Viện Phạm Ngọc Thạch,1 sao,"2,3",Tệ,"cái bệnh viện tệ nhất từng đến đo thấy chuyên khoa nên mới đi. đi từ sáng đến hết ca trưa chụp đúng 1 cái x-quang. đợi dài cổ vô tới phòng xét nghiệm thì nó bắt đợi tới ca chiều mới làm tiếp, bệnh nhân không đông như y dược nhưng làm chậm gấp 3 lần."
"Tôi chấm 1 sao nếu có 0 sao tôi cũng sẽ chấm cho quý vị.
Nhà vệ sinh cho khách hàng thăm khám thật kinh khủng. Là ổ mầm bệnh nguy hiểm nhưng không được chăm sóc chu đáo. …",Trung Tâm Dịch Vụ Y Tế - Bệnh viện Đa khoa tỉnh Khánh Hòa,1 sao,"3,1",Tệ,"tôi chấm 1 sao nếu có 0 sao tôi cũng sẽ chấm cho quý vị.
nhà vệ sinh cho khách hàng thăm khám thật kinh khủng. là ổ mầm bệnh nguy hiểm nhưng không được chăm sóc chu đáo. …"
"Tôi ko khám Họng và tim thuốc đâu!!😱
Đáng sợ quá😱😱😱😱 …",Trung tâm Y tế Phan Thiết,3 sao,"2,2",Trung tính,"tôi không khám họng và tim mạch thuốc đâu!!😱
đáng sợ quá😱😱😱😱 …"
Chất lượng chất lượng dịch vụ ở khoa truyền nhiễm cực thấp,Bệnh viện Đa khoa TP. Đồng Hới,1 sao,"3,2",Tệ,chất lượng chất lượng dịch vụ ở khoa truyền nhiễm trùng cực thấp
"Phòng khám chất lượng nhất Cà Mau luôn mọi người ơi sạch sẻ, thoáng mát, rộng rãi, bác sĩ tư vấn tận tình kĩ lưỡng, nhân viên tiếp đón chu đáo, niềm nở, mình đã trải nghiệm dịch vụ ở đây và rất hài lòng.
Có khám sử dụng thẻ BHYT nữa nha mọi người.",Phòng Khám Đa Khoa Thanh Vũ Medic,5 sao,"4,2",Tốt,"phòng khám chất lượng nhất cà máu luôn mọi người ơi sạch sẻ, thoáng mát, rộng rãi, bác sĩ tư vấn tận tình kĩ lưỡng, nhân viên tiếp đón chu đáo, niềm nở, mình đã trải nghiệm dịch vụ ở đây và rất hài lòng.
có khám xử dụng thẻ bảo hiểm y tế nữa nha mọi người."
"Sớm mai, đi Cafe zìa, chạy ngang trên đường 3/2, quận Ninh Kiều, thấy Bệnh viện Đa khoa Quốc tế Vinmec Cần Thơ đang trong thời gian hoàn thiện.
Vinmec Cần Thơ có không gian khám chữa bệnh hiện đại, tiện nghi và thoải …",Bệnh viện Đa Khoa Quốc Tế Vinmec Cần Thơ,5 sao,"5,0",Tốt,"sớm mai, đi cafe về, chạy ngang trên đường 3/2, quận ninh kiều, thấy bệnh viện đa khoa quốc tế vinmec cần thơ đang truyền thời gian hoàn thiện.
vinmec cần thơ có không gian khám chữa bệnh hiện đại, tiện nghi và thoải …"
"Dịch vụ quá tệ, thái độ nv quá kém, chi phí cao hơn khám thông thường nhưng dịch vụ quá tệ",Chăm Sóc Sức Khỏe Theo Yêu Cầu - Bệnh viện Chợ Rẫy,1 sao,"3,0",Tệ,"dịch vụ quá tệ, thái độ nhân viên quá kém, chi phí cao huyết áp hơn khám thông thường nhưng dịch vụ quá tệ"
